,상호명,소분류,도로명,별점,URL
33,스타벅스 코엑스사거리점,카페,서울 강남구 영동대로 616,4.44,https://pcmap.place.naver.com/restaurant/30922667/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515393880
34,스타벅스 양재강남빌딩R점,카페,서울 강남구 남부순환로 2621,4.56,https://pcmap.place.naver.com/restaurant/1327326036/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515418433
35,스타벅스 역삼포스코점,카페,서울 강남구 테헤란로 134,4.46,https://pcmap.place.naver.com/restaurant/1783555675/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515444611
36,크리스피크림 수서역사점,도넛,서울 강남구 밤고개로 99,4.34,https://pcmap.place.naver.com/restaurant/298842184/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515463620
37,스타벅스 도산가로수길점,카페,서울 강남구 도산대로 134,4.52,https://pcmap.place.naver.com/restaurant/33636839/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515482374
38,던킨 선릉역점,도넛,서울 강남구 테헤란로 422 KT타워 1층,4.44,https://pcmap.place.naver.com/restaurant/11803565/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515595726
39,젠제로,아이스크림,서울 강남구 선릉로126길 14 예우빌딩 1층,4.62,https://pcmap.place.naver.com/restaurant/505338596/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515616546
40,랜디스도넛 가로수길점,도넛,서울 강남구 도산대로15길 16,4.45,https://pcmap.place.naver.com/restaurant/1286781898/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515665449
41,카페마마스 코엑스점,양식,서울 강남구 영동대로 517 P105호,4.36,https://pcmap.place.naver.com/restaurant/34585484/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515674827
42,풀바셋 코엑스몰점,카페,서울 강남구 영동대로 513 코엑스몰 B1 P104,4.59,https://pcmap.place.naver.com/restaurant/36028730/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515702632
43,풀바셋 GFC점,카페,서울 강남구 테헤란로 152 강남파이낸스센터 지하1층,4.48,https://pcmap.place.naver.com/restaurant/32315750/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515754860
44,스타벅스 논현역사거리점,카페,서울 강남구 강남대로 538,4.47,https://pcmap.place.naver.com/restaurant/1864247597/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515841503
