,상호명,소분류,도로명,별점,URL
0,보슬보슬,종합분식,서울 강남구 테헤란로8길 22 1층 102호,4.37,https://pcmap.place.naver.com/restaurant/1293718759/review?entry=bmp&from=map&fromPanelNum=1&ts=1652511393158
1,빨간오뎅 부산어묵,종합분식,서울 강남구 개포로82길 13-11,4.32,https://pcmap.place.naver.com/restaurant/37997290/review?entry=bmp&from=map&fromPanelNum=1&ts=1652511498334
2,싸다김밥 언주역점,종합분식,서울 강남구 논현로 562 1층 싸다김밥 언주역점,4.28,https://pcmap.place.naver.com/restaurant/1377185633/review?entry=bmp&from=map&fromPanelNum=1&ts=1652511529202
3,스쿨푸드 딜리버리 논현점,분식,"서울 강남구 봉은사로37길 7-7 1층 (논현동, 삼전빌딩)",4.5,https://pcmap.place.naver.com/restaurant/38238491/review?entry=bmp&from=map&fromPanelNum=1&ts=1652511583251
4,바르다김선생 일원역점,분식,서울 강남구 일원로 115 108호,4.33,https://pcmap.place.naver.com/restaurant/1717479532/review?entry=bmp&from=map&fromPanelNum=1&ts=1652511632567
