	10
분위기 깡패, 여자친구랑 오면 실패할일 없습니다	10
시설 서비스 전부 빠짐없이 좋았어요 !!	10
직원분들도 친절하시구 분위기 너무 좋아서 친구들이랑 재밋게 잘 놀다가요 ㅎㅎ :)	10
분위기도 좋고 조용해서 좋아요><	10
분위기가 좋습니당	10
이쁘고 맛잇다	10
분위기짱 친구들과 와서 한잔하기 좋아요	10
분위기도 좋고 직원분들도 잘생기시고  친절하시네요	10
#파티세트 #가라아게 분위기 좋은 라운지바를 찾고 계시면 이곳입니다. 오늘 생일인데 친구들과 좋은 시간 보내고 갑니다~ 음식도 너무 맛있어여:)	10
맛있어요 인테리어 예뻐요~	10
분위기 좋네용 럭셔리한 강남 바 분위기 ㅎ	10
분위기도 너무 좋고 친절하세요 :)	10
분위기 좋아요	10
분위기 좋아요❤️	10
분위기 좋아요~	10
두번째 오는 ay라운지인데 항상 분위기도 좋구 비지엠도 너무 좋구 칵테일도 진짜 맛있고 직원들이 너무 친절해요 ❤️❤️매달 갈꺼에요 ❤️❤️	10
분위기 너무 좋아요	10
분위기가 넘무 좋아효	10
해피할로윈 10만원 안아까운  푹신 소파에 분위기갑 연말가까워지면 생각나는곳 적당히 얘기하기좋은 템포의 팝송 딱좋은 조명	10
룸도 너무 예쁘게 꾸며 주셨고 친절하시고 모든게 다 만족 스러웠어요. 즐겁게 보내고 갑니다! 재방문 또 할거에요^^ 	10
코로나인 시국에 다행이도 안전하게 분위기있는 파티룸에서 안전하게 맛난 음식먹으며 좋은 추억남겼어요 감사합니다~^^*	10
너무 친절하셔요	10
남자친구랑 사귀고 나서 처음 맞이하는 제 생일때문에 남자친구가 직접 알아보고 예약한 AY라운지..! 파티룸 분위기부터 음악부터 모든게 다 제 생일을 축하해주는 기분이 드는 공간이었어요! 개인적으로 다시 오고 싶은 공간❤️ 특별한 기분을 느끼게 해줘서 감사합니다😘	10
직원이 너무 친절하네요~!	10
아주 분위기 좋습니다	10
인테리어예뻐요	10
분위기가 너무 좋아요!	10
분위기 고급지고 좋아요!	10
영수증리뷰는 처음이지만 두번째 방문이에요역시 강남역술집 분위기 보스분위기 너무 좋아요	10
분위기 너무 좋고 이뻐용	10
저번에 와보고 너무 좋았어서 친구들데리구  또 왔어요 ㅎㅎ 와인에 음식들도 딱 이고 좋아요❤️	10
생일이라 방문했는데 분위기도 너무 좋고 음식도 맛있고 무엇보다 직원분들 훈훈하시고 친절하세요!!!!!좋은 날에 즐겁고 행복한 시간 보낼 수 있었습니다!다음에 또 올거에요ㅠㅠㅠ너무조아여ㅠㅠㅠ	10
분위기가 좋은 거 같아요ㅎㅎ	10
분위기가 좋아용	10
ㅋㅋ	10
직원분들 친절하구 분위기 넘 좋았어요! 	10
분위기 좋고 안주 맛있어요	10
코로나로 인해서 잘 못왔는데 오랜만에 와도 친절하네용 !!!화이팅	10
분위기 좋아요!	10
분위기가 좋아요!	10
분위기 있고 친절해요~^^	10
분위기 있고 넘 조아요 ㅎㅅㅎ	10
너무 예쁘고 좋아요 ~~	10
생일파티하고왔는데 진짜 분위기도 좋고 조용해서 생일파티하기는 진짜 좋은거같아요 ㅠ 일단 인생사진건져왔답니당 그리고 직원분들이 너무 친절하세요 진짜 매년 생일마다 방문할게요!	10
8월 생일이어서 친구랑 같이 가려고 예약했다가 코로나 때문에 몇 번씩이나 미루다가 다녀왔어요! 사실 아직은 불안한 부분도 있었는데 입장 전부터도 방역수칙에 따른 절차도 철저하고 마스크 선물까지 주셨어요! 또 룸 예약을 해서 좀 더 안심하고 좋은 시간 즐기다가 온거 같아서 넘 행복한 시간이었어요! 저희 테이블 매니저분도 넘 친절하시고 세세한 부분 신경 써주셨어서 기분 좋았어요! 다음에 또 시간되면 AY라운지로 옵니당 ㅎㅎㅎ	10
완전 친절하시고 할로윈 분위기나요 짱!!!!최고입니다 ㅎㅎ	10
할로윈이라 많이 꾸며놓기도했고 친구들이랑 파티하기 딱 좋은것같아요! ㅎㅎ 생일때도 재방문꼭할께용~!	10
분위기 짱짱 저만 알고 싶은 라운지 바에요!!💕 좋은 음악 맛있는 칵테일 힐링하구 가요🧡💛🤍	10
굿굿	10
#강남분위기#미친분위기#강남파티룸#강남룸술집 룸예약하고 파티했는데 너무 좋았습니다. 안주도 다 맛있었고 직원들도 친절했어요 또 갈께요.^^	10
친구 생일이여서 왔는데 직원 분들도 너무 친절하시구 맛도 있어용 ㅎㅎ 다음에 또 오고싶어요 ❤️	10
원하는 룸 데코 해주셔서 너무 감사합니다 너무 행복 추억이 될꺼같아요💛파티는 ay라운지죠👍🏻👍🏻👍🏻	10
좋아용 🖤	10
분위기도 서비스도 만족스럽습니다 생일파티 자리였는데 여기서 즐겁게 시간 보내다 갑니다	10
할로윈이라 분위기도 달라져서 좋구 감바스 맛집이네용 마스크도 잘받았습니다🤘🏻	10
너무 맛있어욤분위기짱짱🎉생일파티로 짱짱입니다😊	10
분위기 너무 좋고~~직원분들도 너무 친절해요특별한 생일파티 보낼수있어서 너무좋았어요~~^_^	10
생일파티하기 너무 좋은 장소였어요 ~!방도 잘 꾸며주셨구 음식두 맛임ㅅ어영	10
생일파티하러 왔는데 너무 예쁘게 꾸며주셔서 기분이 좋았어요!!! 잘 놀다 갑니당	10
#강남라운지바#강남술집#강남핫플레이스제 최애 ay라운지 여기 자꾸 비싸다구 하는데 칵테일 양두많고 을마나 맛있는데여ㅜㅜ분위기 는 그냥 미쳤구 너모 좋아융 ❤️	10
시그니처 벚꽃 칵테일 넘나 이뻐요~~~ 앞에 바텐더 분들도 너무 친절하고 좋으십니다!	10
분위기도 좋고 음식도 맛있어요 ㅎㅎ 방예쁘게 꾸며주셔서 넘 좋아요 감사합니다	10
생일이라 왔는데 장식도 너무 잘되어있고 분위기 너무 좋아요!! 점원분들도 다 친절하시고 덕분에 좋은 시간 보내고 갑니다 :)	10
서비스 좋아용!! 이쁘게 꾸며주셨습니당 생파하기 딱좋아여😊💛	10
생일날 친구들이랑 왔는데 분위기도 서비스도 정말 좋아요~ 추천추천🎀 ㅎㅎ다음 기념일날 또 올게영~~~!	10
생일 파티하러 왔는데 분위기도 너무예쁘구 술도 참 맛있네요^^가격도 막 비싸지않고 다음에 꼭 재방문 하고싶은곳	10
칵테일이 친절하고 바텐더가 달콤해요	10
처음 가본건데 분위기도 완전좋코 ㅠㅠ 너무이쁘게 뀨며주시고 친절하셔가지구 젤행복한시간 보냈어요ㅠ^ㅠ  다음번에도 또 예약하고 갈꺼에요♥️	10
바텐더분들이 너무 친절하구 좋았습니다ㅎㅎㅎ 또 오고싶어요!!!! 완존!	10
파티룸 너무 예쁘게 꾸며주셔서 재밌게 놀았어요 :)	10
안주도 맛있고, 분위기도 좋고 잘놀다가용 😊😊다음에는 다른룸도 이용해볼게요 🤍	10
생파하기 딱 조아요 ♡ 지인생일파티도 여기서햇엇는데 넘 이쁘고 분위기도 넘 조아여	10
우왕 너무 이뻐요 담에 또오고싶네요 정말 넓고 ㅠㅠ 다들 친절하시고 분위기가 너무 좋네요 하하하하하	10
다시 오픈했네요!! 칵테일은 여전히 맛있어요 ㅜㅜ  문닫지마세요~!!	10
너무 예뻐요 :) 분위기도 좋아서 재밌게 회식하고 있습니당 ㅎㅎㅎ	10
분위기도 너무좋고 직원들도 너무 친절하십니다파티는 ay라운지~~~!!	10
친구 생일이라 온건데 할로윈 분위기 연출되있어서 더 좋았어요 ㅎㅎ너무 즐겁고 맛있었어요 ㅎ	10
맛있어 맛있어, 예약하구 가서 세트로 주문해서 먹었는데 궁합 너무 잘맞았어용ㅎㅎㅎ 친철하게 메뉴 추천도 해주시고 음악도 좋고~!친구들과 좋은시간 보내고 왔습니당	10
오랜만에 재방문 했는데 역시나  강남 1등 라운지 같아요👍🏼 늘 한결같은 친절함과 맛!!  매우 만족⭐️⭐️⭐️⭐️⭐️	10
분위기 너무 좋아요~!!생파 하러왔는데 서비스도 너무 좋고 만족합니당, 룸도 이쁘게 잘꾸며 주셨어요!연말파티하러 또 방문할 예정이예요~~🧡	10
분위기 진짜 좋고, 칵테일은 예술이고, 직원분들은 완전 친절해여. 연인, 친구, 직장동료 누구랑와도 만족하실거에요. 강추♡♡	10
#ay라운지#강남역술집#강남분위기맛집분위기 구우우웃 인생샷 많이 건지고 왔지여	10
