,상호명,소분류,도로명,별점,URL
0,아이해브어드림 강남본점,와인,서울 강남구 테헤란로5길 7 KG Tower 지하1층,4.38,https://pcmap.place.naver.com/restaurant/12077060/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513623292
1,아트몬스터 강남역점,"맥주,호프",서울 강남구 테헤란로1길 28-3,4.55,https://pcmap.place.naver.com/restaurant/1912745227/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513654621
2,아실라,와인,서울 강남구 강남대로98길 16 파빌리온,4.43,https://pcmap.place.naver.com/restaurant/20123101/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513671431
3,AY라운지,바(BAR),"서울 강남구 강남대로92길 13 제리스플레닛 호텔 지하 1,2F",4.81,https://pcmap.place.naver.com/restaurant/36998036/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513703227
4,무월,"전통,민속주점",서울 강남구 봉은사로4길 21,4.36,https://pcmap.place.naver.com/restaurant/36508127/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513754795
5,포포인츠 바이 쉐라톤 서울 강남 더 라운지앤바,바(BAR),서울 강남구 도산대로 203 1층,4.22,https://pcmap.place.naver.com/restaurant/1808849687/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513933307
6,리커테이션,와인,서울 강남구 압구정로10길 13 마사빌딩 지하1층 리커테이션,4.91,https://pcmap.place.naver.com/restaurant/1222395691/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513976810
